ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.13,0.0,465.0,16.1,62.5,83.0,2.9,68.7,67.4,0.25
0.14,0.0,448.0,12.3,61.2,67.0,3.8,91.3,63.3,0.2
0.14,0.0,448.0,12.3,61.2,67.0,3.8,91.3,63.3,0.1
0.15,0.0,467.0,12.0,60.1,68.0,4.5,109.0,61.2,0.1
0.15,0.0,467.0,12.0,60.1,68.0,4.5,109.0,61.2,0.2
0.14,0.0,448.0,12.3,61.2,67.0,3.8,91.3,63.3,0.1
0.13,0.03,410.0,11.9,57.7,73.0,5.0,120.3,59.7,0.01
0.26,0.0,541.0,8.1,72.9,29.0,7.8,187.7,67.3,1.0
0.15,0.0,485.0,11.7,59.3,68.0,5.1,123.4,61.6,0.1
0.13,0.03,410.0,11.9,57.7,73.0,5.0,120.3,59.7,0.01
0.23,0.0,513.0,7.1,61.9,38.0,8.0,193.1,60.1,4.0
0.18,0.0,549.0,11.0,60.5,61.0,4.6,111.0,61.0,0.1
0.21,0.0,545.0,7.2,67.4,31.0,4.8,114.0,67.1,1.5
0.19,0.04,548.0,7.2,64.7,35.0,3.1,75.6,64.2,0.5
0.22,0.0,541.0,11.1,71.8,42.0,5.9,142.3,67.4,0.01
0.18,0.0,507.0,12.1,63.6,60.0,2.8,68.1,66.7,0.01
0.18,0.01,549.0,12.8,63.7,64.0,4.2,100.0,64.8,0.1
0.18,0.04,476.0,10.0,62.1,52.0,2.2,53.3,57.6,0.1
0.24,0.0,564.0,6.3,73.6,55.74606916779595,5.2,123.8,60.4,8.0
0.24,0.0,609.0,6.8,74.0,24.0,3.9,94.0,62.7,0.1
0.23,0.0,559.0,7.9,76.2,25.0,3.4,81.4,68.6,0.1
0.18,0.0,508.0,12.0,60.2,67.0,3.8,92.0,65.3,0.01
0.28,0.0,561.0,8.1,78.3,24.0,5.8,138.2,68.4,0.02
0.22,0.0,597.0,8.0,68.9,33.0,4.0,95.8,62.6,0.25
0.22,0.0,597.0,8.0,68.9,33.0,4.0,95.8,62.6,0.25
0.28,0.0,542.0,7.0,80.9,19.0,5.5,131.4,69.7,1.0
0.21,0.0,545.0,7.6,67.7,33.0,4.2,100.9,60.6,5.0
0.17,0.0,536.0,14.0,62.4,73.0,4.4,105.5,67.0,2.0
0.17,0.0,485.0,9.0,57.2,56.0,5.0,119.4,59.6,0.01
0.25,0.0,829.0,5.7,76.4,18.0,6.3,151.5,68.6,80.0
0.2,0.0,592.0,7.7,58.9,45.0,5.0,119.8,62.2,0.4
0.25,0.0,829.0,5.7,76.4,18.0,6.3,151.5,68.6,0.25
0.24,0.0,626.0,5.3,68.5,22.0,4.2,100.9,68.0,4.0
0.22,0.0,555.0,7.7,63.0,39.0,4.3,104.2,66.1,2.0
0.24,0.0,597.0,6.7,67.3,29.0,5.5,131.8,63.1,0.25
0.3,0.0,705.0,5.3,71.1,21.0,8.0,191.2,68.1,0.01
0.21,0.0,604.0,11.3,59.3,65.0,8.6,205.2,59.3,0.01
0.18,0.0,557.0,8.3,55.5,55.0,6.6,158.5,61.4,0.1
0.18,0.0,557.0,8.3,55.5,55.0,6.6,158.5,61.4,0.01
0.14,0.0,479.0,7.4,47.0,67.0,3.0,71.4,56.5,2.0
0.16,0.02,507.0,10.1,54.5,70.0,4.4,104.4,65.6,1.0
0.16,0.0,557.0,8.3,49.6,68.0,4.4,104.6,66.69276448265181,0.12
0.18,0.0,568.0,7.4,50.5,59.0,6.6,159.6,61.8,0.5
0.17,0.02,563.0,8.6,53.6,61.0,5.9,142.8,55.3,0.01
0.18,0.0,531.0,8.4,63.6,42.0,4.5,107.4,67.3,0.25
0.07,0.22,275.0,9.9,51.0,78.0,4.3,103.2,66.69276448265181,0.11
0.16,0.06,507.0,7.8,52.3,58.0,5.6,134.1,59.9,3.6
0.06,0.18,246.0,9.7,53.0,71.0,3.3,80.1,64.9,0.01
0.18,0.0,611.0,8.7,55.4,58.0,3.7,87.9,63.0,0.25
0.19,0.01,601.0,8.8,56.2,57.0,4.5,108.8,59.4,2.0
