ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),FIRE_SIZE
0.19,0.0,545.0,9.3,68.1,40.0,4.2,101.3,63.8,0.1
0.2,0.0,439.0,7.2,74.1,25.0,3.5,83.4,69.0,0.25
0.23,0.0,608.0,5.8,73.4,21.0,3.3,79.7,62.2,0.01
0.23,0.0,578.0,6.0,67.3,26.0,5.1,122.1,65.2,0.1
0.23,0.0,578.0,6.0,67.3,26.0,5.1,122.1,65.2,1.0
0.15,0.0,565.0,12.6,55.7,83.0,3.1,74.9,62.3,0.01
0.18,0.0,588.0,4.0,47.5,36.0,2.9,69.3,45.9,0.25
0.13,0.03,454.0,13.1,55.3,87.0,3.7,87.7,60.7,0.2
0.24,0.0,620.0,7.1,71.1,27.0,4.1,99.3,63.2,0.01
0.13,0.03,454.0,13.1,55.3,87.0,3.7,87.7,60.7,1.0
0.2,0.0,537.0,11.4,61.7,61.0,4.0,96.2,66.8,0.3
0.2,0.03,573.0,6.9,67.9,30.0,2.4,58.1,65.1,0.1
0.24,0.0,578.0,8.7,75.7,29.0,4.5,107.5,68.2,0.25
0.22,0.0,579.0,7.3,67.7,31.0,3.9,92.9,61.9,2.0
0.22,0.0,554.0,8.4,66.8,38.0,4.8,114.4,61.7,0.1
0.18,0.0,579.0,3.3,47.4,30.0,3.2,76.2,46.8,0.1
0.2,0.0,570.0,9.3,64.8,44.0,3.3,80.3,69.4,0.1
0.18,0.0,583.0,14.6,62.5,76.0,3.6,87.4,66.4,0.25
0.21,0.0,587.0,8.5,67.4,37.0,3.4,82.5,62.2,0.01
0.18,0.0,583.0,14.6,62.5,76.0,3.6,87.4,66.4,0.25
0.23,0.0,586.0,9.2,65.2,43.0,5.2,124.9,61.1,0.1
0.17,0.03,549.0,12.6,59.1,73.0,3.4,81.9,66.7,1.5
0.21,0.0,563.0,9.8,63.6,49.0,5.4,129.4,62.3,0.25
0.18,0.0,550.0,10.9,61.9,58.0,4.1,98.9,63.0,0.01
0.19,0.0,583.0,8.2,55.6,54.0,6.7,161.7,61.9,1.0
0.19,0.0,591.0,8.4,58.5,50.0,4.7,112.1,62.7,0.01
0.18,0.0,550.0,10.9,61.9,58.0,4.1,98.9,63.0,0.5
0.17,0.0,536.0,14.0,62.4,73.0,4.4,105.5,67.0,0.1
0.17,0.0,485.0,9.0,57.2,56.0,5.0,119.4,59.6,0.01
0.17,0.0,579.0,10.1,59.6,58.0,2.2,51.9,64.5,0.25
0.21,0.0,590.0,6.2,58.0,37.0,4.9,116.6,67.23368450150501,0.13
0.16,0.0,591.0,2.1,36.9,29.0,3.8,91.0,45.1,0.1
0.23,0.0,600.0,4.4,66.9,19.0,4.2,100.1,62.3,1.0
0.24,0.0,597.0,6.7,67.3,29.0,5.5,131.8,63.1,0.01
0.16,0.0,547.0,9.6,50.0,78.0,5.4,129.6,60.2,0.1
0.17,0.0,628.0,2.5,40.3,29.0,3.6,85.3,44.7,0.1
0.2,0.0,597.0,7.7,59.7,44.0,3.8,91.3,62.3,0.1
0.24,0.0,563.0,4.0,63.2,20.0,5.6,133.4,59.4,4.0
0.17,0.0,584.0,9.9,53.3,71.0,5.0,119.5,61.8,0.3
0.22,0.0,598.0,4.1,65.7,19.0,4.0,95.9,68.3,2.0
0.19,0.0,582.0,11.7,59.3,68.0,5.8,138.9,65.3,0.25
0.16,0.0,636.0,2.7,35.5,39.0,5.7,137.2,44.6,10.0
0.18,0.0,579.0,10.1,57.9,62.0,5.1,121.6,64.9,0.25
0.18,0.0,554.0,9.4,55.3,63.0,6.1,145.8,60.3,1.0
0.14,0.0,408.0,9.6,54.2,67.0,5.0,120.7,59.4,0.1
0.16,0.11,516.0,7.8,54.1,55.0,4.5,108.1,60.7,0.1
0.21,0.0,612.0,8.1,62.6,42.0,5.8,139.4,66.1,0.5
0.16,0.11,516.0,7.8,54.1,55.0,4.5,108.1,60.7,0.1
0.17,0.03,578.0,10.3,57.8,63.0,4.1,97.4,64.5,1.0
0.17,0.0,617.0,7.0,51.0,55.0,4.3,102.5,61.7,1.0
0.17,0.0,578.0,9.6,56.1,63.0,3.8,91.4,63.1,0.01
0.17,0.01,486.0,9.8,57.5,61.0,4.4,105.0,59.2,0.1
0.18,0.01,512.0,8.8,54.7,60.0,6.1,145.5,59.1,7.0
0.19,0.0,576.0,9.0,58.7,53.0,4.6,110.0,60.3,0.3
0.19,0.0,576.0,9.0,58.7,53.0,4.6,110.0,60.3,1.5
